query,correct_department
TDS amount seems too high.,Payroll
Need projector in board room.,Facilities
Printer is not responding.,IT
How do I request relocation support?,HR
How do I request relocation support?,HR
Who to contact for ID card issue?,Facilities
How do I reset my password?,IT
Need help with tax filing process.,Payroll
Can I work remotely next week?,HR
Cleaning staff hasn't arrived.,Facilities
How do I apply for sabbatical leave?,HR
Can't access the internal portal.,IT
I need my Form 16.,Payroll
Window blinds are broken.,Facilities
I need access to Git repository.,IT
The elevator is stuck.,Facilities
When will I receive my salary?,Payroll
What documents are needed for medical leave?,HR
The elevator is stuck.,Facilities
I need access to Git repository.,IT
When will I receive my salary?,Payroll
Light is flickering in meeting room.,Facilities
I forgot my login credentials.,IT
Requesting new chair for my desk.,Facilities
Window blinds are broken.,Facilities
How do I claim reimbursement?,Payroll
VPN is not working.,IT
I forgot my login credentials.,IT
What is my net pay for this month?,Payroll
Cleaning staff hasn't arrived.,Facilities
Requesting new chair for my desk.,Facilities
How do I claim reimbursement?,Payroll
I forgot my login credentials.,IT
How to configure email on mobile?,IT
Laptop is heating up excessively.,IT
TDS amount seems too high.,Payroll
How do I request relocation support?,HR
How do I request relocation support?,HR
How do I update my personal details?,HR
Where can I update my emergency contact?,HR
Can't access the internal portal.,IT
The restroom is not clean.,Facilities
How do I claim reimbursement?,Payroll
Salary credited is incorrect.,Payroll
The elevator is stuck.,Facilities
Laptop is heating up excessively.,IT
Need clarification on deductions.,Payroll
I need my Form 16.,Payroll
How to update investment declaration?,Payroll
How many sick leaves are available annually?,HR
Laptop is heating up excessively.,IT
How do I apply for sabbatical leave?,HR
How many sick leaves are available annually?,HR
The restroom is not clean.,Facilities
Wi-Fi is not connecting.,IT
What documents are needed for medical leave?,HR
I need access to Git repository.,IT
My Outlook is crashing.,IT
Need help with tax filing process.,Payroll
I forgot my login credentials.,IT
How many sick leaves are available annually?,HR
How to update investment declaration?,Payroll
Need clarification on deductions.,Payroll
TDS amount seems too high.,Payroll
AC is not working in my cabin.,Facilities
Need help with tax filing process.,Payroll
When will I receive my salary?,Payroll
Who to contact for ID card issue?,Facilities
Window blinds are broken.,Facilities
Requesting new chair for my desk.,Facilities
Window blinds are broken.,Facilities
Water cooler is empty.,Facilities
How do I apply for sabbatical leave?,HR
What documents are needed for medical leave?,HR
Where can I update my emergency contact?,HR
My Outlook is crashing.,IT
When is the next HR roundtable?,HR
The elevator is stuck.,Facilities
Can't access the internal portal.,IT
Can I work remotely next week?,HR
Window blinds are broken.,Facilities
I forgot my login credentials.,IT
Where can I view the holiday calendar?,HR
Window blinds are broken.,Facilities
Can't access the internal portal.,IT
When will I receive my salary?,Payroll
Can I work remotely next week?,HR
I need my Form 16.,Payroll
Wi-Fi is not connecting.,IT
What is my net pay for this month?,Payroll
Salary credited is incorrect.,Payroll
VPN is not working.,IT
Can I work remotely next week?,HR
What is the policy on maternity leave?,HR
Light is flickering in meeting room.,Facilities
Light is flickering in meeting room.,Facilities
The elevator is stuck.,Facilities
Need clarification on deductions.,Payroll
How do I apply for sabbatical leave?,HR
When is the next HR roundtable?,HR
